Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
240578,OIE,44.319,27.9307,Europe,Romania,Calarasi,Fetesti,Exact,19/09/2018,25/09/2018,Confirmed,African swine fever,,"wild, wild boar",,2,2,0,,,,,
240577,OIE,44.6167,27.1983,Europe,Romania,Ialomita,Gheorghe Doja,Exact,17/09/2018,25/09/2018,Confirmed,African swine fever,,"domestic, swine",29,29,1,28,,,,,
240576,OIE,44.6308,26.9308,Europe,Romania,Ialomita,Sarateni,Exact,16/09/2018,25/09/2018,Confirmed,African swine fever,,"domestic, swine",2,2,2,0,,,,,
240575,OIE,44.6394,26.9339,Europe,Romania,Ialomita,Sarateni,Exact,16/09/2018,25/09/2018,Confirmed,African swine fever,,"domestic, swine",117,117,1,116,,,,,
240574,OIE,44.3829,25.9325,Europe,Romania,Giurgiu,Clinceni,Exact,15/09/2018,25/09/2018,Confirmed,African swine fever,,"domestic, swine",52,52,11,41,,,,,
240573,OIE,44.4148,27.3575,Europe,Romania,Calarasi,Dragalina,Exact,14/09/2018,25/09/2018,Confirmed,African swine fever,,"domestic, swine",20688,20688,175,0,,,,,
240572,OIE,44.6439,27.6358,Europe,Romania,Ialomita,Tandarei,Exact,14/09/2018,25/09/2018,Confirmed,African swine fever,,"domestic, swine",5,5,0,5,,,,,
240571,OIE,44.1609,26.0313,Europe,Romania,Giurgiu,Singureni Lunca,Exact,13/09/2018,25/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,,,
240570,OIE,44.1984,27.5835,Europe,Romania,Calarasi,Pietroiu,Exact,12/09/2018,25/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,,,
240569,OIE,44.3064,27.93,Europe,Romania,Calarasi,Fetesti,Exact,11/09/2018,25/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,,,
240568,OIE,44.2593,27.8268,Europe,Romania,Calarasi,Fermecatul,Exact,11/09/2018,25/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,,,
240567,OIE,44.4403,27.5446,Europe,Romania,Calarasi,Perisoru,Exact,10/09/2018,25/09/2018,Confirmed,African swine fever,,"domestic, swine",2,2,0,2,,,,,
240566,OIE,44.5322,26.1778,Europe,Romania,Bucuresti,Stefaneti de Sus,Exact,10/09/2018,25/09/2018,Confirmed,African swine fever,,"domestic, swine",20,20,1,19,,,,,
240565,OIE,44.563,27.4736,Europe,Romania,Ialomita,Gimbasani,Exact,10/09/2018,25/09/2018,Confirmed,African swine fever,,"domestic, swine",7,7,3,4,,,,,
240564,OIE,44.4367,27.5462,Europe,Romania,Calarasi,Perisoru,Exact,10/09/2018,25/09/2018,Confirmed,African swine fever,,"domestic, swine",24,24,0,24,,,,,
240563,OIE,44.303,27.664,Europe,Romania,Calarasi,Galdau,Exact,08/09/2018,25/09/2018,Confirmed,African swine fever,,"domestic, swine",5,5,2,3,,,,,
240562,OIE,44.4667,28.1128,Europe,Romania,Constanta,Cernavoda,Exact,18/09/2018,24/09/2018,Confirmed,African swine fever,,"domestic, swine",97,97,1,96,,,,,
240561,OIE,44.6362,28.1285,Europe,Romania,Constanta,Horia,Exact,15/09/2018,24/09/2018,Confirmed,African swine fever,,"domestic, swine",13,13,4,9,,,,,
240560,OIE,44.208,27.8677,Europe,Romania,Constanta,Vlahii Aliman,Exact,14/09/2018,24/09/2018,Confirmed,African swine fever,,"domestic, swine",62,62,1,61,,,,,
240559,OIE,44.3335,28.0171,Europe,Romania,Constanta,Cernavoda,Exact,12/09/2018,24/09/2018,Confirmed,African swine fever,,"domestic, swine",7,7,0,7,,,,,
240558,OIE,44.1054,27.3871,Europe,Romania,Constanta,Ostrov,Exact,10/09/2018,24/09/2018,Confirmed,African swine fever,,"domestic, swine",3,3,3,0,,,,,
240557,OIE,44.6842,28.0767,Europe,Romania,Constanta,Miorita,Exact,10/09/2018,24/09/2018,Confirmed,African swine fever,,"domestic, swine",7,7,0,7,,,,,
240556,OIE,44.2802,27.9875,Europe,Romania,Constanta,Cochirleni,Exact,09/09/2018,24/09/2018,Confirmed,African swine fever,,"domestic, swine",28,28,2,26,,,,,
240555,OIE,44.7146,28.0366,Europe,Romania,Constanta,Garliciu,Exact,08/09/2018,24/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,,,
240554,OIE,44.247,27.9357,Europe,Romania,Constanta,Rasova,Exact,04/09/2018,24/09/2018,Confirmed,African swine fever,,"domestic, swine",13,13,0,13,,,,,
240553,OIE,44.3976,28.1701,Europe,Romania,Constanta,Silistea,Exact,01/09/2018,24/09/2018,Confirmed,African swine fever,,"domestic, swine",9,9,3,6,,,,,
240552,OIE,44.3976,28.1701,Europe,Romania,Constanta,Silistea,Exact,01/09/2018,24/09/2018,Confirmed,African swine fever,,"domestic, swine",1,1,1,0,,,,,
240551,OIE,44.4106,28.1825,Europe,Romania,Constanta,Silistea,Exact,30/08/2018,24/09/2018,Confirmed,African swine fever,,"domestic, swine",51,51,3,48,,,,,
240550,OIE,44.3345,28.0232,Europe,Romania,Constanta,Cernavoda,Exact,30/08/2018,24/09/2018,Confirmed,African swine fever,,"domestic, swine",7,7,1,6,,,,,
240549,OIE,44.3393,28.022,Europe,Romania,Constanta,Cernavoda,Exact,30/08/2018,24/09/2018,Confirmed,African swine fever,,"domestic, swine",1,1,1,0,,,,,
240548,OIE,44.7231,28.1577,Europe,Romania,Constanta,Saraiu,Exact,27/08/2018,24/09/2018,Confirmed,African swine fever,,"domestic, swine",4,4,1,3,,,,,
240547,OIE,44.7231,28.1577,Europe,Romania,Constanta,Saraiu,Exact,27/08/2018,24/09/2018,Confirmed,African swine fever,,"domestic, swine",23,23,0,23,,,,,
240546,OIE,44.1651,27.6645,Europe,Romania,Constanta,Oltina,Exact,27/08/2018,24/09/2018,Confirmed,African swine fever,,"domestic, swine",2,2,1,1,,,,,
240545,OIE,44.6711,27.9894,Europe,Romania,Constanta,Ghindaresti,Exact,27/08/2018,24/09/2018,Confirmed,African swine fever,,"wild, wild boar",,11,1,10,,,,,
240544,OIE,44.4974,28.0873,Europe,Romania,Ialomita,Capidava,Exact,25/08/2018,24/09/2018,Confirmed,African swine fever,,"domestic, swine",5,5,3,2,,,,,
240528,OIE,47.83793873,19.9768146,Europe,Hungary,Heves,Gyöngyös,Exact,17/09/2018,25/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,,,,0,,
240526,OIE,45.1668,27.3973,Europe,Romania,Braila,Dedulesti,Exact,18/09/2018,24/09/2018,Confirmed,African swine fever,,"domestic, swine",10455,10455,202,10253,,,0,,
240522,National authorities,40.481,111.374,Asia,China,Nei Mongol Zizhiqu,"Gangtielu Street, Huimin District",Exact,22/09/2018,24/09/2018,Confirmed,African swine fever,,"domestic, swine",388,4,2,386,,,0,,
240516,OIE,45.1731,28.4003,Europe,Romania,Tulcea,Hamcearca,Exact,18/09/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,,1,,,,,
240515,OIE,45.1253,28.5664,Europe,Romania,Tulcea,Alba -Celic,Exact,18/09/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,,1,,,,,
240514,OIE,44.8594,28.675,Europe,Romania,Tulcea,Carada,Exact,18/09/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,,1,,,,,
240513,OIE,45.2639,28.3756,Europe,Romania,Tulcea,Isaccea,Exact,13/09/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,,,,,,
240512,OIE,45.2639,28.3756,Europe,Romania,Tulcea,Isaccea,Exact,13/09/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,,,,,,
240511,OIE,44.7875,28.5667,Europe,Romania,Tulcea,Altan Tepe,Exact,09/09/2018,21/09/2018,Confirmed,African swine fever,,"domestic, swine",1,1,1,,,,,,
240510,OIE,44.9677,28.6318,Europe,Romania,Tulcea,Turda,Exact,09/09/2018,21/09/2018,Confirmed,African swine fever,,"domestic, swine",10,10,1,9,,,,,
240509,OIE,44.9531,28.6536,Europe,Romania,Tulcea,Mihai Bravu,Exact,06/09/2018,21/09/2018,Confirmed,African swine fever,,"domestic, swine",2,2,,2,,,,,
240454,OIE,53.286111,23.239167,Europe,Poland,Podlaskie,Kimki,Exact,10/09/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,,,
240453,OIE,52.133056,21.040556,Europe,Poland,Mazowieckie,Warszawa,Exact,10/09/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,,,
240452,OIE,52.108333,21.050278,Europe,Poland,Mazowieckie,Kierszek,Exact,08/09/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,,,
240451,OIE,51.72988,22.907303,Europe,Poland,Lubeiskie,Czarny Las,Exact,08/09/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,,,
240450,OIE,52.058889,21.093889,Europe,Poland,Mazowieckie,Czarnow,Exact,07/09/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,,,
240449,OIE,53.979444,22.888056,Europe,Poland,Podlaskie,Osinska Buda,Exact,07/09/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,,,
240448,OIE,52.063056,21.083333,Europe,Poland,Mazowieckie,Jastrzebie,Exact,07/09/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,,,
240447,OIE,52.040278,21.062778,Europe,Poland,Mazowieckie,Chyliczki,Exact,07/09/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,,,
240446,OIE,51.932119,21.249995,Europe,Poland,Mazowieckie,Krolewski Ias,Exact,06/09/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,,,
240445,OIE,51.577501,22.862767,Europe,Poland,Lubeiskie,Buradow,Exact,06/09/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,8,8,0,,,,,
240444,OIE,53.963889,22.888611,Europe,Poland,Podlaskie,Cisowek,Exact,05/09/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,,,
240443,OIE,51.005833,23.743611,Europe,Poland,Lubeiskie,Stanislawow,Exact,05/09/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,,,
240442,OIE,52.107222,21.471111,Europe,Poland,Mazowieckie,Dobrzyniec,Exact,03/09/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,,,
240441,OIE,52.05916,21.095278,Europe,Poland,Mazowieckie,Czarnow,Exact,03/09/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,,,
240440,OIE,52.088889,21.057778,Europe,Poland,Mazowieckie,Julianow,Exact,03/09/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,,,
240439,OIE,52.095278,21.0625,Europe,Poland,Mazowieckie,Julianow,Exact,03/09/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,,,
240438,OIE,51.404722,22.855556,Europe,Poland,Lubeiskie,Rozkopaczew,Exact,03/09/2018,21/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,,,
