Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
239017,OIE,58.951231,46.514801,Europe,Russian Federation,Kostromskaya Oblast,Harino,Exact,09/08/2018,16/08/2018,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, unspecified bird",498485,506,506,1223,,,,,
238863,OIE,23.774055,120.503549,Asia,Taiwan (Province of China),Taiwan Sheng,Citong Township,Exact,26/06/2018,13/08/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, duck",9711,,,9711,,,,,
238862,OIE,23.76209,120.468642,Asia,Taiwan (Province of China),Taiwan Sheng,Xiluo Township,Exact,17/04/2018,13/08/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, chicken",25887,230,230,25657,,,,,
238861,OIE,23.704321,120.409792,Asia,Taiwan (Province of China),Taiwan Sheng,Huwei Township,Exact,31/01/2018,13/08/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, chicken",9530,,,9530,,,,,
238860,OIE,22.452,120.5715,Asia,Taiwan (Province of China),Taiwan Sheng,Jiadong Township,Exact,12/01/2018,13/08/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, chicken",15463,,,15463,,,,,
238859,OIE,55.951416,43.050646,Europe,Russian Federation,Nizhegorodskaya Oblast,Pavlovo,Exact,05/08/2018,08/08/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",90,11,2,88,,,,,
238858,OIE,57.657697,53.809319,Europe,Russian Federation,Udmurtiya Rep.,Debesy,Exact,31/07/2018,08/08/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",18,10,3,15,,,,,
238857,OIE,56.661316,47.834508,Europe,Russian Federation,Mariy-el Rep.,Noviy,Exact,30/07/2018,08/08/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",127,10,10,46,,,,,
238856,OIE,57.611017,53.396892,Europe,Russian Federation,Udmurtiya Rep.,Zura,Exact,27/07/2018,08/08/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",50,23,23,27,,,,,
238855,OIE,57.711042,53.68746,Europe,Russian Federation,Udmurtiya Rep.,Toljen,Exact,27/07/2018,08/08/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",48,16,16,32,,,,,
238854,OIE,57.503747,53.455912,Europe,Russian Federation,Udmurtiya Rep.,Sepozh,Exact,27/07/2018,08/08/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",91,3,3,18,,,,,
238853,OIE,55.774275,48.028527,Europe,Russian Federation,Chuvashiya Rep.,Sirekli,Exact,25/07/2018,08/08/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",87,5,5,82,,,,,
238852,OIE,52.603774,36.866334,Europe,Russian Federation,Orlovskaya Oblast,Pokrovskoe,Exact,25/07/2018,08/08/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",87,6,6,81,,,,,
238851,OIE,23.53181,120.20823,Asia,Taiwan (Province of China),Taiwan Sheng,Shuilin Township,Exact,27/07/2018,07/08/2018,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",36455,3811,3811,32644,,,,,
238850,OIE,23.723561,120.235728,Asia,Taiwan (Province of China),Taiwan Sheng,Taixi Township,Exact,18/07/2018,07/08/2018,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, duck",3411,,,3411,,,,,
238793,OIE,6.105563,116.229785,Asia,Malaysia,Sabah,Kampung Kauluan,Exact,27/07/2018,06/08/2018,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",28000,3000,3000,25000,,,,,
238792,OIE,20.9063,106.5885,Asia,Viet Nam,Hai Phong City,An Hung,Exact,30/07/2018,03/08/2018,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, unspecified bird",5500,2000,1000,4500,,,0,,
238791,OIE,20.9105,106.609,Asia,Viet Nam,Hai Phong City,An Hong,Exact,28/07/2018,03/08/2018,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, unspecified bird",4720,1000,500,4220,,,0,,
238790,OIE,19.0306,105.5515,Asia,Viet Nam,Nghe An,Dien Lien,Exact,28/07/2018,03/08/2018,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, unspecified bird",2400,90,90,2310,,,,,
238529,OIE,22.72427778,120.51390833,Asia,Taiwan (Province of China),Taiwan Sheng,"Jiuru Township, ",Exact,19/03/2018,26/07/2018,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",3000,,0,0,,,0,,
238528,OIE,22.73070833,120.59001389,Asia,Taiwan (Province of China),Taiwan Sheng,Yanpu Township,Exact,14/03/2018,26/07/2018,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",5700,,0,0,,,0,,
238527,OIE,22.76502778,120.55811111,Asia,Taiwan (Province of China),Taiwan Sheng,Yanpu Township,Exact,02/03/2018,26/07/2018,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",70000,,0,0,,,0,,
238526,OIE,22.68370278,120.54988889,Asia,Taiwan (Province of China),Taiwan Sheng," Changzhi Township ",Exact,30/01/2018,26/07/2018,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",24000,,0,0,,,0,,
238525,OIE,22.73644444,120.59605556,Asia,Taiwan (Province of China),Taiwan Sheng,Yanpu Township,Exact,29/01/2018,26/07/2018,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",43000,,0,0,,,0,,
238524,OIE,22.76027778,120.56375,Asia,Taiwan (Province of China),Taiwan Sheng,Yanpu Township,Exact,04/01/2018,26/07/2018,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",13500,,0,0,,,0,,
238515,OIE,55.018928,48.323572,Europe,Russian Federation,Tatarstan Rep.,Nizhniy Naratbash,Exact,20/07/2018,25/07/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",26,4,4,22,,,0,,
238514,OIE,55.419767,48.494996,Europe,Russian Federation,Tatarstan Rep.,Verhnee Atkozino,Exact,20/07/2018,25/07/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",46,14,14,32,,,0,,
238513,OIE,55.240929,48.762553,Europe,Russian Federation,Tatarstan Rep.,Burnashevo ,Exact,20/07/2018,25/07/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",20,4,3,17,,,0,,
238512,OIE,54.874391,47.804693,Europe,Russian Federation,Chuvashiya Rep.,Volnyy Stan ,Exact,19/07/2018,25/07/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",73,9,9,64,,,0,,
238511,OIE,55.199476,48.505955,Europe,Russian Federation,Tatarstan Rep.,Apastovo,Exact,19/07/2018,25/07/2018,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",113,113,100,13,,,0,,
